Designator,Mid X,Mid Y,Rotation,Layer
D1,42.8625,-40.290625,90.0,bottom
D10,80.9625,-57.946875,90.0,bottom
D11,100.0125,-57.946875,90.0,bottom
D12,119.0625,-58.15,90.0,bottom
D13,138.1125,-58.15,90.0,bottom
D14,157.1625,-57.946875,90.0,bottom
D15,42.8625,-78.390625,90.0,bottom
D16,61.9125,-78.390625,90.0,bottom
D17,80.9625,-76.996875,90.0,bottom
D18,100.0125,-76.996875,90.0,bottom
D19,119.0625,-77.2,90.0,bottom
D2,61.9125,-40.290625,90.0,bottom
D20,138.1125,-77.2,90.0,bottom
D21,157.1625,-76.996875,90.0,bottom
D22,42.8625,-97.440625,90.0,bottom
D23,61.9125,-97.440625,90.0,bottom
D24,80.9625,-96.046875,90.0,bottom
D25,100.0125,-96.046875,90.0,bottom
D26,119.0625,-96.25,90.0,bottom
D27,138.1125,-96.25,90.0,bottom
D28,157.1625,-96.046875,90.0,bottom
D29,176.2125,-81.9975,90.0,bottom
D3,80.9625,-38.896875,90.0,bottom
D31,100.0125,-107.953125,90.0,bottom
D32,119.0625,-107.809375,90.0,bottom
D33,141.287499556911,-115.3349994610235,100.0,bottom
D34,161.528124556911,-118.90687446102349,100.0,bottom
D35,173.434375443089,-104.6193755389765,280.0,bottom
D36,172.443758,-45.130673,0.0,top
D37,172.462508,-45.130673,180.0,bottom
D4,100.0125,-38.896875,90.0,bottom
D5,119.0625,-39.1,90.0,bottom
D6,138.1125,-39.1,90.0,bottom
D7,157.1625,-38.896875,90.0,bottom
D8,42.8625,-59.340625,90.0,bottom
D9,61.9125,-59.340625,90.0,bottom
J1,174.9375,-66.715,90.0,bottom
JP1,166.562508,-27.543173,270.0,top
JP2,170.112508,-27.543173,270.0,top
JP3,173.662508,-27.543173,270.0,top
JP4,173.662508,-27.543173,270.0,bottom
JP5,170.112508,-27.543173,270.0,bottom
JP6,166.562508,-27.543173,270.0,bottom
R1,169.712508,-32.970673,0.0,top
R2,169.712508,-36.280673,0.0,top
R3,169.712508,-39.590673,0.0,top
SW1,33.3625,-39.665625,0.0,top
SW10,71.4625,-57.525,0.0,top
SW11,90.5125,-51.571875,0.0,top
SW12,109.5625,-48.0,0.0,top
SW13,128.6125,-51.571875,0.0,top
SW14,147.6625,-53.953125,0.0,top
SW15,33.3625,-77.765625,0.0,top
SW16,52.4125,-77.765625,0.0,top
SW17,71.4625,-76.575,0.0,top
SW18,90.5125,-70.621875,0.0,top
SW19,109.5625,-67.05,0.0,top
SW2,52.4125,-39.665625,0.0,top
SW20,128.6125,-70.621875,0.0,top
SW21,147.6625,-73.003125,0.0,top
SW22,33.3625,-96.815625,0.0,top
SW23,52.4125,-96.815625,0.0,top
SW24,71.4625,-95.625,0.0,top
SW25,90.5125,-89.671875,0.0,top
SW26,109.5625,-86.1,0.0,top
SW27,128.6125,-89.671875,0.0,top
SW28,147.6625,-92.053125,0.0,top
SW29,166.7125,-81.3375,0.0,top
SW3,71.4625,-38.475,0.0,top
SW30,90.5125,-108.721875,0.0,top
SW31,109.5625,-105.15,0.0,top
SW32,132.1384483046489,-110.82164121472856,350.0,top
SW33,151.8384483046489,-114.30289121472856,350.0,top
SW34,171.6384483046489,-117.70289121472857,350.0,top
SW4,90.5125,-32.521875,0.0,top
SW5,109.5625,-28.95,0.0,top
SW6,128.6125,-32.521875,0.0,top
SW7,147.6625,-34.903125,0.0,top
SW8,33.3625,-58.715625,0.0,top
SW9,52.4125,-58.715625,0.0,top
U1,170.0625,-38.165,0.0,bottom
